	Season	Lg	Tm	Voting	C	F1	F2	G1	G2
234	1965-66	NBA	2nd		Bill Russell C	John Havlicek F	Gus Johnson F	Hal Greer G	Sam Jones G
235									
236	1964-65	NBA	1st		Bill Russell C	Elgin Baylor F	Jerry Lucas F	Oscar Robertson G	Jerry West G
237	1964-65	NBA	2nd		Wilt Chamberlain C	Gus Johnson F	Bob Pettit F	Hal Greer G	Sam Jones G
238									
239	1963-64	NBA	1st		Wilt Chamberlain C	Elgin Baylor F	Bob Pettit F	Oscar Robertson G	Jerry West G
240	1963-64	NBA	2nd		Bill Russell C	Tom Heinsohn F	Jerry Lucas F	Hal Greer G	John Havlicek G
241									
242	1962-63	NBA	1st		Bill Russell C	Elgin Baylor F	Bob Pettit F	Oscar Robertson G	Jerry West G
243	1962-63	NBA	2nd		Wilt Chamberlain C	Tom Heinsohn F	Bailey Howell F	Bob Cousy G	Hal Greer G
244									
245	1961-62	NBA	1st		Wilt Chamberlain C	Elgin Baylor F	Bob Pettit F	Oscar Robertson G	Jerry West G
246	1961-62	NBA	2nd		Bill Russell C	Tom Heinsohn F	Jack Twyman F	Bob Cousy G	Richie Guerin G
247									
248	1960-61	NBA	1st		Wilt Chamberlain C	Elgin Baylor F	Bob Pettit F	Bob Cousy G	Oscar Robertson G
249	1960-61	NBA	2nd		Bill Russell C	Tom Heinsohn F	Dolph Schayes F	Larry Costello G	Gene Shue G
250									
251	1959-60	NBA	1st		Wilt Chamberlain C	Elgin Baylor F	Bob Pettit F	Bob Cousy G	Gene Shue G
252	1959-60	NBA	2nd		Bill Russell C	Dolph Schayes F	Jack Twyman F	Richie Guerin G	Bill Sharman G
253									
254	1958-59	NBA	1st		Bill Russell C	Elgin Baylor F	Bob Pettit F	Bob Cousy G	Bill Sharman G
255	1958-59	NBA	2nd		Dolph Schayes C	Paul Arizin F	Cliff Hagan F	Richie Guerin G	Slater Martin G
256									
257	1957-58	NBA	1st		Bob Pettit C	Dolph Schayes F	George Yardley F	Bob Cousy G	Bill Sharman G
258	1957-58	NBA	2nd		Bill Russell C	Cliff Hagan F	Maurice Stokes F	Tom Gola G	Slater Martin G
259									
260	1956-57	NBA	1st		Bob Pettit C	Paul Arizin F	Dolph Schayes F	Bob Cousy G	Bill Sharman G
261	1956-57	NBA	2nd		Neil Johnston C	Maurice Stokes F	George Yardley F	Dick Garmaker G	Slater Martin G
262									
263	1955-56	NBA	1st		Neil Johnston C	Paul Arizin F	Bob Pettit F	Bob Cousy G	Bill Sharman G
264	1955-56	NBA	2nd		Clyde Lovellette C	Dolph Schayes F	Maurice Stokes F	Jack George G	Slater Martin G
265									
266	1954-55	NBA	1st		Bob Cousy 	Larry Foust 	Neil Johnston 	Bob Pettit 	Dolph Schayes 
267	1954-55	NBA	2nd		Harry Gallatin 	Slater Martin 	Vern Mikkelsen 	Paul Seymour 	Bill Sharman 
268									
269	1953-54	NBA	1st		Bob Cousy 	Harry Gallatin 	Neil Johnston 	George Mikan 	Dolph Schayes 
270	1953-54	NBA	2nd		Carl Braun 	Ed Macauley 	Jim Pollard 	Paul Seymour 	Bobby Wanzer 
271									
272	1952-53	NBA	1st		Bob Cousy 	Neil Johnston 	Ed Macauley 	George Mikan 	Dolph Schayes 
273	1952-53	NBA	2nd		Bob Davies 	Vern Mikkelsen 	Andy Phillip 	Bill Sharman 	Bobby Wanzer 
274									
275	1951-52	NBA	1st		Paul Arizin 	Bob Cousy 	Ed Macauley 	George Mikan 	Bob Davies , Dolph Schayes (T)
276	1951-52	NBA	2nd		Larry Foust 	Vern Mikkelsen 	Andy Phillip 	Jim Pollard 	Bobby Wanzer 
277									
278	1950-51	NBA	1st		Ralph Beard 	Bob Davies 	Alex Groza 	Ed Macauley 	George Mikan 
279	1950-51	NBA	2nd		Frankie Brian 	Joe Fulks 	Dick McGuire 	Vern Mikkelsen 	Dolph Schayes 
280									
281	1949-50	NBA	1st		Bob Davies 	Alex Groza 	George Mikan 	Jim Pollard 	Max Zaslofsky 
282	1949-50	NBA	2nd		Ralph Beard 	Frankie Brian 	Al Cervi 	Fred Schaus 	Dolph Schayes 
283									
284	1948-49	BAA	1st		Bob Davies 	Joe Fulks 	George Mikan 	Jim Pollard 	Max Zaslofsky 
285	1948-49	BAA	2nd		Bob Feerick 	John Logan 	Bones McKinney 	Arnie Risen 	Kenny Sailors 
286									
287	1947-48	BAA	1st		Howie Dallmar 	Bob Feerick 	Joe Fulks 	Ed Sadowski 	Max Zaslofsky 
288	1947-48	BAA	2nd		Carl Braun 	Buddy Jeannette 	John Logan 	Stan Miasek 	Fred Scolari 
289									
290	1946-47	BAA	1st		Bob Feerick 	Joe Fulks 	Bones McKinney 	Stan Miasek 	Max Zaslofsky 
291	1946-47	BAA	2nd		Frankie Baumholtz 	Ernie Calverley 	Chick Halbert 	John Logan 	Fred Scolari 
